DEBUG    | 2023-04-19 13:05:02,870 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/wandetect completed in 0 seconds
DEBUG    | 2023-04-19 13:05:02,892 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/dhcp6s completed in 0 seconds
DEBUG    | 2023-04-19 13:05:02,903 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/ntpclient completed in 0 seconds
DEBUG    | 2023-04-19 13:05:02,935 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/rtsol completed in 0 seconds
DEBUG    | 2023-04-19 13:05:02,992 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/radvd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:02,998 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/zeroconf completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,069 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/bin/taskset completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,113 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/local/lib/openvpn/plugins/openvpn-plugin-down-root.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,133 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/httpd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,174 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/bin/vmstat completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,288 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/wl completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,302 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/libupnp.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,315 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/libbcmcrypto.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,359 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/libbcm.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,371 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/libshared.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,435 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/libnetconf.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,461 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/local/samba/smb_pass completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,491 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/local/sbin/openvpn completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,499 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/libnat.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,550 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/tc/q_netem.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,559 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/htmlget completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,585 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/local/samba/nmbd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,610 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/libnvram.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,630 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/ubdcmd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,641 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/lib/libacos_shared.so completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,666 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/gpio completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,670 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/bd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,734 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/udevtrigger completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,767 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/hotplug2 completed in 0 seconds
