INFO     | 2023-04-19 16:34:59,937 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/EX6250v2_EX6400v3_EX6410v2_EX6470-V1.0.3.30.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,938 | Yasat.main_cli | [47/581 (27 success, 20 failure)] Extracted 170 ELF files from dataset/Netgear/WNDR4500-V1.0.1.46_1.0.76.zip
INFO     | 2023-04-19 16:34:59,938 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/DGND3700 Firmware Version 1.0.0.17(NA).zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,938 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/R8300-V1.0.2.154_1.0.102.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,938 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/RAX45-V1.0.3.96_2.0.59.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,938 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/N300-V1.1.0.54_1.0.1.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,941 | Yasat.main_cli | [48/581 (28 success, 20 failure)] Extracted 400 ELF files from dataset/Netgear/EX7300-EX6400-V1.0.2.158.zip
INFO     | 2023-04-19 16:34:59,945 | Yasat.main_cli | [51/581 (29 success, 22 failure)] Extracted 63 ELF files from dataset/Netgear/DST6501-V1.0.1.6.zip
INFO     | 2023-04-19 16:34:59,945 | Yasat.main_cli | [52/581 (30 success, 22 failure)] Extracted 84 ELF files from dataset/Netgear/EX6100-V1.0.2.28_1.1.138.zip
INFO     | 2023-04-19 16:34:59,946 | Yasat.main_cli | [53/581 (31 success, 22 failure)] Extracted 273 ELF files from dataset/Netgear/R7300-V1.0.0.74_1.0.29.zip
INFO     | 2023-04-19 16:34:59,947 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WN3000RPv2-V1.0.0.88.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,947 | Yasat.main_cli | [55/581 (32 success, 23 failure)] Extracted 1163 ELF files from dataset/Netgear/D7800_FW_V1.0.1.60.zip
INFO     | 2023-04-19 16:34:59,947 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNR2500-V1.0.0.34NA.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,948 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GS748Tv4_V5.4.2.30.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,948 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WN3500RP-V1.0.0.28_1.0.66.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,948 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNDR3300v2 Initial Firmware Version 1.0.0.26.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,948 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/DG834GT_V1.03.23.zip.cache is available!!!
