WARNING  | 2023-04-21 18:05:21,281 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/DX3301-T0_005.214-01-01253.zip
WARNING  | 2023-04-21 18:05:21,296 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS2220-50HP_4.70(ABRT.5)C0.zip
WARNING  | 2023-04-21 18:05:21,308 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS2220-10_4.70(ABRO.5)C0.zip
WARNING  | 2023-04-21 18:05:21,322 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NAP203_002.351-01-00652.zip
WARNING  | 2023-04-21 18:05:21,340 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAC500_002.214-01-01280.zip
WARNING  | 2023-04-21 18:05:21,361 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ES1100-24E_3.zip
WARNING  | 2023-04-21 18:05:21,376 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS2220-28_4.70(ABRQ.6)C0.zip
WARNING  | 2023-04-21 18:05:21,387 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1200-8_V2.00(ABME.2)C0.zip
WARNING  | 2023-04-21 18:05:21,401 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG110_11.zip
WARNING  | 2023-04-21 18:05:21,413 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NWA1302-AC_1.zip
WARNING  | 2023-04-21 18:05:21,428 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS3700-48HP_3.zip
WARNING  | 2023-04-21 18:05:21,442 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAX510D_6.50(ABTF.2)C0.zip
WARNING  | 2023-04-21 18:05:21,451 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1900-48HPv2_002.214-01-01213.zip
WARNING  | 2023-04-21 18:05:21,482 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ATP800_2.zip
WARNING  | 2023-04-21 18:05:21,517 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAH7706_001.351-01-00561.zip
WARNING  | 2023-04-21 18:05:21,540 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1915-8EP_V4.70(ACAQ.0)C0.zip
WARNING  | 2023-04-21 18:05:21,553 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NWD6605_1.0.0(MacOS).zip
WARNING  | 2023-04-21 18:05:21,570 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAC500H_6.50(ABWA.0)C0.zip
WARNING  | 2023-04-21 18:05:21,582 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ATP100_3.zip
WARNING  | 2023-04-21 18:05:21,598 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1920-24HPv2_4.70(ABMI.7)C0.zip
WARNING  | 2023-04-21 18:05:21,609 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS1010-12_002.214-01-01191.zip
WARNING  | 2023-04-21 18:05:21,634 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGN100C_XGN100C_Linux driver_2.0.15.20.0330.zip
WARNING  | 2023-04-21 18:05:21,652 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAC6502D-S_002.351-03-00134.zip
WARNING  | 2023-04-21 18:05:21,669 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/VPN1000_3.zip
WARNING  | 2023-04-21 18:05:21,683 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1915-24EP_2.zip
WARNING  | 2023-04-21 18:05:21,700 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1920-48v2_4.70(ABMJ.8)C0.zip
WARNING  | 2023-04-21 18:05:21,719 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ATP100W_001.351-03-00436.zip
